#      WAVE        LUMINOSITY
       4540.5335       2.1842696
       4541.5791       2.1557487
       4542.6250       2.1512746
       4543.6711       2.1410657
       4544.7174       2.1730665
       4545.7640       2.1677224
       4546.8108       2.1554015
       4547.8579       2.1625727
       4548.9052       2.1214678
       4549.9527       2.1261418
       4551.0005       2.0918020
       4552.0486       2.0602260
       4553.0968       2.1096787
       4554.1453       2.0790931
       4555.1941       2.0746166
       4556.2431       2.0934958
       4557.2923       2.1122327
       4558.3418       2.2072489
       4559.3915       2.2317676
       4560.4415       2.2106556
       4561.4917       2.2384976
       4562.5421       2.2156045
       4563.5928       2.1970051
       4564.6437       2.1837081
       4565.6949       2.1972280
       4566.7463       2.2082819
       4567.7980       2.1954206
       4568.8499       2.2658452
       4569.9020       2.2558343
       4570.9544       2.2144961
       4572.0070       2.1808470
       4573.0599       2.1688724
       4574.1130       2.2203405
       4575.1663       2.2193397
       4576.2199       2.2156065
       4577.2737       2.2130871
       4578.3278       2.1961555
       4579.3821       2.1821269
       4580.4367       2.1400070
       4581.4915       2.0821199
       4582.5466       2.0811725
       4583.6019       2.0973677
       4584.6574       2.1154021
       4585.7132       2.1230587
       4586.7692       2.1219015
       4587.8255       2.1564492
       4588.8820       2.1727151
       4589.9387       2.1878725
       4590.9957       2.1755059
       4592.0529       2.1885732
       4593.1104       2.1873734
       4594.1681       2.1772973
       4595.2261       2.1354950
       4596.2843       2.1326214
       4597.3428       2.1783790
       4598.4015       2.1833067
       4599.4604       2.1448369
       4600.5196       2.1765313
       4601.5790       2.1911763
       4602.6387       2.1505519
       4603.6986       2.1873476
